DEPTH,GR,RHOB,NPHI,RT,CALI
3100.0,55.2,2.42,0.21,3.5,8.6
3100.5,58.1,2.40,0.22,3.2,8.6
3101.0,62.4,2.39,0.23,2.9,8.7
3101.5,71.3,2.35,0.26,2.4,8.7
3102.0,85.6,2.31,0.29,1.8,8.8
3102.5,95.2,2.28,0.32,1.5,8.9
3103.0,102.4,2.25,0.34,1.3,9.0
3103.5,98.7,2.27,0.33,1.4,8.9
3104.0,88.3,2.30,0.30,1.7,8.8
3104.5,72.1,2.36,0.25,2.2,8.7
3105.0,60.5,2.41,0.22,2.8,8.6
3105.5,48.9,2.45,0.19,3.6,8.5
3106.0,42.3,2.48,0.17,4.2,8.5
3106.5,38.7,2.50,0.16,4.8,8.4
3107.0,35.1,2.52,,5.4,8.4
3107.5,40.6,,0.16,4.9,8.5
3108.0,45.8,2.47,0.18,4.1,8.5
3108.5,52.3,2.44,0.20,3.4,8.6
3109.0,65.7,2.38,0.24,2.6,8.7
3109.5,78.9,2.33,0.27,2.0,8.8
3110.0,90.2,2.29,0.31,1.6,8.9
3110.5,,2.26,0.33,1.4,9.0
3111.0,110.5,2.23,0.36,1.1,9.1
3111.5,105.8,2.24,0.35,1.2,9.0
3112.0,92.4,2.28,0.31,1.5,8.9
3112.5,80.1,2.32,0.28,1.9,8.8
3113.0,68.5,2.37,0.25,2.5,8.7
3113.5,55.9,2.42,0.21,3.3,8.6
3114.0,44.2,2.46,0.18,4.0,8.5
3114.5,39.6,2.49,0.17,4.6,8.4
